genus	count	evidence
Cutibacterium	4237	Bartlett;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Pseudomonas	1501	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Prevotella	866	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Bacteroides	787	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Streptomyces	681	Bartlett;MGNIFY/gut;WIS
Escherichia	606	Bartlett;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Streptococcus	600	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Corynebacterium	561	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Selenomonas	539	Bartlett;UNITN;MGNIFY/oral;WIS
Porphyromonas	478	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Campylobacter	471	Bartlett;UNITN;MGNIFY/gut;WIS
Phocaeicola	454	Bartlett;MGNIFY/gut;MGNIFY/oral
Bradyrhizobium	451	UNITN;MGNIFY/gut
Alistipes	441	Bartlett;UNITN;MGNIFY/gut;WIS
Parabacteroides	440	Bartlett;UNITN;MGNIFY/gut;WIS
Schaalia	432	Not found
Faecalibacterium	408	UNITN;MGNIFY/gut;WIS
Bifidobacterium	392	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Segatella	388	Not found
Clostridium	385	Bartlett;UNITN;MGNIFY/gut;WIS
Neisseria	362	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Treponema	342	Bartlett;UNITN;MGNIFY/oral;WIS
Veillonella	313	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Rothia	304	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Plasmodium	296	Not found
Ralstonia	286	Bartlett;MGNIFY/gut
Collinsella	273	Bartlett;UNITN;MGNIFY/gut;WIS
Haemophilus	268	Bartlett;UNITN;MGNIFY/gut;WIS
Fusobacterium	259	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Mediterraneibacter	253	MGNIFY/gut
Bacillus	248	Bartlett;MGNIFY/gut;WIS
Sphingomonas	243	Bartlett;UNITN;MGNIFY/gut;WIS
Rhodococcus	238	Bartlett;WIS
Burkholderia	237	Bartlett
Capnocytophaga	232	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Actinomyces	218	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Eggerthella	208	Bartlett;UNITN;MGNIFY/gut;WIS
Eikenella	205	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Flavobacterium	200	Bartlett;MGNIFY/gut;WIS
Flavonifractor	200	UNITN;MGNIFY/gut;WIS
Stenotrophomonas	200	Bartlett;MGNIFY/gut;WIS
Tannerella	199	Bartlett;UNITN;MGNIFY/oral;WIS
Staphylococcus	198	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Akkermansia	195	UNITN;MGNIFY/gut;WIS
Odoribacter	193	Bartlett;MGNIFY/gut;WIS
Micrococcus	192	Bartlett;UNITN;MGNIFY/gut;WIS
Variovorax	191	Not found
Brucella	187	Bartlett
Enterocloster	184	MGNIFY/gut
Malassezia	183	Not found
Ruthenibacterium	183	MGNIFY/gut
Klebsiella	168	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Lachnoclostridium	159	UNITN;MGNIFY/gut
Acinetobacter	156	Bartlett;MGNIFY/gut;MGNIFY/vaginal;WIS
Achromobacter	152	Bartlett;MGNIFY/gut;WIS
Acanthamoeba	147	Not found
Vescimonas	145	Not found
Methylobacterium	143	Bartlett;MGNIFY/gut;WIS
Hoylesella	142	Not found
Roseburia	141	UNITN;MGNIFY/gut;WIS
Hungatella	136	Bartlett;UNITN;MGNIFY/gut
Alcaligenes	134	Bartlett;WIS
Paenibacillus	134	Bartlett;MGNIFY/gut;WIS
Aggregatibacter	130	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Sutterella	128	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Aspergillus	127	Not found
Brevundimonas	124	Bartlett;UNITN;WIS
Limosilactobacillus	121	MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Hemileia	118	Not found
Sphingobium	115	WIS
Fretibacterium	114	Bartlett;MGNIFY/oral
Solobacterium	113	Bartlett;UNITN;WIS
Blautia	110	UNITN;MGNIFY/gut;WIS
Olsenella	110	UNITN;MGNIFY/gut;MGNIFY/oral
Butyricimonas	108	Bartlett;UNITN;MGNIFY/gut;WIS
Leishmania	105	Not found
Desulfovibrio	103	Bartlett;UNITN;MGNIFY/gut;WIS
Phascolarctobacterium	101	UNITN;MGNIFY/gut;WIS
Dialister	99	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Lactobacillus	98	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Vibrio	98	Bartlett;MGNIFY/gut
Enterobacter	97	Bartlett;MGNIFY/gut;WIS
Rhizobium	97	Bartlett;UNITN;WIS
Diaphorobacter	95	WIS
Dorea	92	UNITN;MGNIFY/gut;WIS
Roseolovirus	92	Not found
Leptotrichia	91	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Paracoccus	91	Bartlett;WIS
Acidovorax	86	Bartlett;MGNIFY/gut;WIS
Stomatobaculum	83	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Simiaoa	80	Not found
Parvimonas	78	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Gemella	76	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Chryseobacterium	74	Bartlett;MGNIFY/gut;WIS
Mogibacterium	72	Bartlett;UNITN;MGNIFY/oral;WIS
Stutzerimonas	72	Not found
Agathobacter	71	MGNIFY/gut
Lachnoanaerobaculum	71	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Intestinimonas	67	MGNIFY/gut
Enterococcus	66	Bartlett;MGNIFY/gut;MGNIFY/vaginal;WIS
Citrobacter	65	Bartlett;MGNIFY/gut;WIS
Coprococcus	65	UNITN;MGNIFY/gut;WIS
Chromera	64	Not found
Kingella	60	Bartlett;UNITN;WIS
Microbacterium	60	Bartlett;UNITN;MGNIFY/vaginal;WIS
Filifactor	57	Bartlett;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Trichomonas	57	Not found
Trypanosoma	57	Not found
Lancefieldella	54	MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Mobiluncus	54	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Granulicatella	53	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Helicobacter	52	Bartlett;MGNIFY/gut
Pyramidobacter	52	Bartlett;MGNIFY/gut;MGNIFY/vaginal
Subdoligranulum	50	UNITN
Anaerotruncus	48	UNITN;MGNIFY/gut
Comamonas	45	Bartlett;MGNIFY/gut;WIS
Paraprevotella	45	MGNIFY/gut
Adlercreutzia	43	UNITN;MGNIFY/gut
Oscillibacter	43	Bartlett;UNITN;MGNIFY/gut;WIS
Coprobacter	42	MGNIFY/gut
Gardnerella	42	Bartlett;WIS
Mesorhizobium	42	WIS
Rhizophagus	42	Not found
Arachnia	41	MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Duodenibacillus	41	MGNIFY/gut
Kocuria	39	Bartlett;MGNIFY/gut;WIS
Nocardioides	39	WIS
Roseateles	39	Not found
Sphingopyxis	39	Not found
Anaerostipes	38	Bartlett;UNITN;MGNIFY/gut;WIS
Lawsonibacter	35	MGNIFY/gut
Dietzia	34	Bartlett;WIS
Eimeria	34	Not found
Hammondia	34	Not found
Morganella	34	Bartlett;MGNIFY/gut;WIS
Hydrogenophaga	33	WIS
