Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Edhazardia aedis USNM 41457	yes	Edhazardia aedis	70536	USNM 41457	1003232	0	0	1429	GenBank	GCA_000230595.3	GenBank	Aug 05, 2015	234	4262	2063	72	4190	4190	2
Kluyveromyces marxianus DMKU3-1042	yes	Kluyveromyces marxianus	4911	DMKU3-1042	1003335	8	0	0	INSDC	GCF_001417885.1	RefSeq	Oct 23, 2017	731	5151	4142	210	4941	4941	0
Aspergillus luchuensis IFO 4308	no	Aspergillus luchuensis	1069201	IFO 4308	1033177	0	146	1016	GenBank	GCA_000239835.2	GenBank	Oct 2, 2015	925	11755	8211	267	11488	11488	0
Epichloe glyceriae E277	yes	Epichloe glyceriae	79591	E277	1035635	0	0	3076	INSDC	GCA_000225285.2	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Aspergillus versicolor CBS 583.65	yes	Aspergillus versicolor	46472	CBS 583.65	1036611	0	51	0	GenBank	GCA_001890125.1	GenBank	Dec 07, 2016	1617	13364	9346	142	13222	13222	0
Aspergillus sydowii CBS 593.65	yes	Aspergillus sydowii	75750	CBS 593.65	1036612	0	97	0	GenBank	GCA_001890705.1	GenBank	Dec 08, 2016	1617	13717	9355	138	13579	13579	0
Nosema apis BRL 01	yes	Nosema apis	35231	BRL 01	1037528	0	554	0	INSDC	GCA_000447185.1	GenBank	Mar 22, 2015	171	2764	1433	0	2764	2764	0
Trypanosoma vivax Y486	yes	Trypanosoma vivax	5699	Y486	1055687	11	0	8279	GenBank	GCA_000227375.1	GeneDB	Jun 06, 2016	708	12050	6449	1038	11012	11012	382
Trypanosoma congolense IL3000	yes	Trypanosoma congolense	5692	IL3000	1068625	11	0	2828	GenBank	GCA_000227395.2	GeneDB	Jun 06, 2016	150	11792	7479	537	11255	11255	330
Pneumocystis murina B123	yes	Pneumocystis murina	263815	B123	1069680	0	20	0	INSDC	GCA_000349005.2	GenBank	Dec 13, 2016	511	3675	3011	52	3623	3623	0
